0	Male infant circumcision is tantamount to child abuse	Parents have the right to use their best judgment, in the light of medical advice, as to what is in the best interest of their child	refutes
1	Male infant circumcision is tantamount to child abuse	Parents know what best for thier child	refutes
2	Male infant circumcision is tantamount to child abuse	Parents have the right to make the decisions for their child	refutes
3	punishment should fit the criminal	It will cause less re-offenders.	supports
4	punishment should fit the criminal	Adequate punishment reduces future offenses.	supports
5	punishment should fit the criminal	Just punishment will lead to less criminals re-offending.	supports
6	punishment should fit the criminal	The onus should not be on punishing the criminal.	refutes
7	punishment should fit the criminal	Punishment should not be the primary focus.	refutes
8	punishment should fit the criminal	Our  main goal should not be punishing the criminal.	refutes
9	A government has the obligation to lessen the economic gap between its rich and poor citizens	True individual freedom cannot exist without economic security and independence	supports
10	A government has the obligation to lessen the economic gap between its rich and poor citizens	The wealth gap does not allow for equality between the rich and the poor and so it should be reduced.	supports
11	A government has the obligation to lessen the economic gap between its rich and poor citizens	Society gives an unfair advantage to certain groups of people and reducing the wealth gap will help achieve more equality.	supports
12	A government has the obligation to lessen the economic gap between its rich and poor citizens	Wealth gap undermines equality of opportunity; reducing it makes society fairer.	supports
13	A government has the obligation to lessen the economic gap between its rich and poor citizens	The Rich Poor Gap Silences the Political Voice of the Poor	supports
14	We Should Question Authorities	Why is the authority figure there?	supports
15	China should be allowed more control over its own seas	Sovereignty of the Seas	supports
16	China should be allowed more control over its own seas	China should have freedom of the seas.	supports
17	Islamic State/Daesh is the most significant threat to the west	Daesh and the Syrian civil war is nurture terrorism for export	supports
18	Islamic State/Daesh is the most significant threat to the west	There are other larger threats.	refutes
19	Islamic State/Daesh is the most significant threat to the west	More significant threats than the Islamic State exist for the west.	refutes
20	Islamic State/Daesh is the most significant threat to the west	The Islamic State is not the biggest concern for the western world.	refutes
21	Islamic State/Daesh is the most significant threat to the west	There are more important threats to focus on	refutes
22	Islamic State/Daesh is the most significant threat to the west	The west is insulated by distance from Daesh	refutes
23	All countries should have the right to pursue a nuclear defence	Small countries would be able to pursue their independence without having to rely on larger countries.	supports
24	All countries should have the right to pursue a nuclear defence	Disarmament would actually cause increased insecurity among nations, it is near impossible to guarantee that a nation has disarmed.	supports
25	All countries should have the right to pursue a nuclear defence	Small countries would no longer need the protection of larger ones, so could become more politically independent.	supports
26	All countries should have the right to pursue a nuclear defence	Disarmament would actually cause increased insecurity among nations, you can never really know for sure whether they have disarmed.	supports
27	All countries should have the right to pursue a nuclear defence	Disarmament would actually cause increased insecurity among nations, as there can never be any guarantee that a nation has disarmed	supports
28	All countries should have the right to pursue a nuclear defence	Thus the super power model will be broken and small countries will be finally given the chance to have political independence without the need of protection from a ‘big brother’.	supports
29	All countries should have the right to pursue a nuclear defence	All the people worldwide have the same rights and are equal to one another.	supports
30	All countries should have the right to pursue a nuclear defence	The pursuit of nuclear defence (respectively the possession of nuclear weapons) by more countries is a guarantee for peace.	supports
31	All countries should have the right to pursue a nuclear defence	Humanitarian intervention becomes impossible in states that possess nuclear weapons	refutes
32	All countries should have the right to pursue a nuclear defence	Humanitarian missions would not be possible in states that have nuclear weapons.	refutes
33	All countries should have the right to pursue a nuclear defence	It is very difficult to intercede in humanitarian crises in states wherein nuclear weapons are present.	refutes
34	All countries should have the right to pursue a nuclear defence	The threat of a state developing nuclear weapons could instigate pre-emptive strikes from its neighbours and rivals to prevent the acquisition of such weapons	refutes
35	All countries should have the right to pursue a nuclear defence	Other countries could strike against those developing nuclear weapons to protect themselves.	refutes
36	All countries should have the right to pursue a nuclear defence	To keep other countries from obtaining a nuclear arsenal, other nations may pre-emptively strike.	refutes
37	All countries should have the right to pursue a nuclear defence	The intention of a state to develop nuclear weapons may incite military attacks by enemies and by other supporting countries.	refutes
38	All countries should have the right to pursue a nuclear defence	Public acknowledgement of the right to nuclear deterrence will benefit the public regulation of nuclear weapons generally	supports
39	All countries should have the right to pursue a nuclear defence	Nuclear weapons give states valuable agenda-setting power on the international stage	supports
40	All countries should have the right to pursue a nuclear defence	Countries with nuclear weapons have the ability to set their own agenda.	supports
41	All countries should have the right to pursue a nuclear defence	States with nuclear weapons are afforded more authority to set agendas at international levels.	supports
42	All countries should have the right to pursue a nuclear defence	All countries have a right to defend themselves with nuclear weapons, even when they lack the capacity in conventional weapons	supports
43	All countries should have the right to pursue a nuclear defence	All states have a right to nuclear self-defense.	supports
44	All countries should have the right to pursue a nuclear defence	To use  nuclear weapons in defense of the nation is lawful for all countries.	supports
45	All countries should have the right to pursue a nuclear defence	countries have to right to self defense with nuclear weapons, even when they lack capacity in conventional weapon	supports
